id;url;time;user
381411691;http://livejournal.com/;638885706;Edouard
656581099;https://www.youtube.com/;56884215;Claude
2136125313;https://vk.com;624607152;Edouard
626409569;https://www.yandex.ru/;1606021739;Vincent
570031190;https://vk.com;866059657;Henri
211545327;https://www.yandex.ru/;1984318551;Paul
631504599;https://www.facebook.com/;149240497;Henri
681182786;https://vk.com;847162305;Henri
752507012;https://www.epam.com/;380998373;Pierre-Auguste
1504259260;https://www.epam.com/;1044813999;Paul
1760957869;https://postnauka.ru;850871813;Pierre-Auguste
1856243373;https://www.yandex.ru/;231833449;Pierre-Auguste
633304502;https://postnauka.ru;820785747;Pierre-Auguste
1624460441;https://www.youtube.com/;1139685050;Paul
933657427;https://www.youtube.com/;1720092339;Paul
775363960;https://postnauka.ru;795151920;Gustave
1810187468;https://postnauka.ru;393311465;Edgar
1972280049;https://www.yandex.ru/;774988887;Gustave
1392323642;https://stackoverflow.com/;2128997341;Pierre-Auguste
580832669;https://www.google.com/;864011522;Henri
2065674183;https://postnauka.ru;1971608025;Camille
1750716746;https://vk.com;24743810;Gustave
1899241970;https://vk.com;764180169;Edouard
2041006389;https://www.yandex.ru/;1611080939;Gustave
608903624;https://www.youtube.com/;401348217;Edgar
1756306510;https://www.google.com/;902930006;Edgar
275831595;https://habrahabr.ru/;1123943130;Vincent
1336375671;https://www.yandex.ru/;1760365337;Claude
1659834127;https://www.facebook.com/;1710349886;Edgar
1699161029;https://www.yandex.ru/;1353987856;Edgar
456123319;https://stackoverflow.com/;1375079831;Camille
1646069437;https://www.facebook.com/;1249835224;Pierre-Auguste
9600252;https://vk.com;744270523;Pablo
590221975;https://www.epam.com/;788269070;Pierre-Auguste
513956998;https://www.yandex.ru/;588545698;Pierre-Auguste
1096441983;https://habrahabr.ru/;1981242259;Edgar
1447201296;https://www.yandex.ru/;1055851429;Edgar
1680514766;https://postnauka.ru;1266028490;Edouard
1937605543;https://www.youtube.com/;223113153;Claude
1774634324;http://livejournal.com/;766563544;Pierre-Auguste
483063275;https://www.google.com/;350668498;Gustave
351736209;https://www.epam.com/;1855317219;Edouard
1505508429;https://vk.com;1737815256;Claude
1295010551;https://www.google.com/;182157907;Gustave
1545644367;https://vk.com;620687412;Camille
466374442;https://stackoverflow.com/;1405877780;Pierre-Auguste
668112582;https://postnauka.ru;1750852587;Paul
1957684799;https://www.yandex.ru/;1301562833;Gustave
712916507;https://www.yandex.ru/;1702060514;Henri
2143215359;https://habrahabr.ru/;1895692858;Paul
1305696389;https://www.youtube.com/;1731894559;Claude
